,Method of Travel,Year,Percentage,,,
,Driving a car or van,2011,56.0,,,
,Passenger in a car or van,2011,5.8,,,
,Taxi or private hire,2011,0.6,,,
,"Motorcycle, scooter or moped",2011,0.3,,,
,On foot,2011,9.9,,,
,Bicycle,2011,1.4,,,
,"Bus, minibus",2011,10.0,,,
,Train,2011,3.7,,,
,Underground,2011,0.3,,,
,Other,2011,1.2,,,
,Work from home,2011,10.8,,,
,Driving a car or van,2022,45.9,,,
,Passenger in a car or van,2022,3.6,,,
,Taxi or private hire,2022,0.6,,,
,"Motorcycle, scooter or moped",2022,0.2,,,
,On foot,2022,7.3,,,
,Bicycle,2022,1.4,,,
,"Bus, minibus",2022,5.7,,,
,Train,2022,2.3,,,
,Underground,2022,0.2,,,
,Other,2022,1.3,,,
,Work from home,2022,31.6,,,
